cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
THA,12925277.4,10643452.5,8489672.5,7817610.5,7020216,5855627,5121107.2,4223304.8,4378726.8,4474338.9,4193841.6,2917296,3555025.6,2875634.6,2770888.5,1737047.4,2217420.8,2091821.1,2110081.5,1531662.6,1506218.7,1515056.4,1516560.6
TJK,3455474.4,3324205.8,2997030.4,2717616.4,1661891.2,1490745,1325289.3,1165776,958940.8,791390.7,803174.2,913690.4,850668,861855.8,890659.5,925856.7,788770.5,751148.2,642043.5,621634.8,596925,526252,492783.6
TLS,244315.5,183779.4,172418.4,171826.8,168822,162621,214835.2,169015.5,208139.1,141850.8,120657,141273.6,133517.8,120040.5,93930,110449,96190.2,95329.5,96387.2,94845.3,96325.4,99757.7,102455.1
TON,4049.1,3821.4,3128.4,2930,3010,3070.4,2131.8,2369,1946.7,2781,2568.8,2436,2394,2448.6,2448.6,2493.1,2033,2052,2223.6,2420,2442,2508.8,2384.3
TUN,458762.7,399268.8,383709.6,361816,341579.7,320265.1,286507.6,254360.6,231057.6,233588.4,214928,187258.8,152418,116748.4,74658.1,42837.4,29650.4,28830,27981.6,25922.6,26186.6,28845.6,27896.7
TUR,11623512,13101587.2,13699572.9,15735076.6,10989312,9669529.6,8272188.9,7787904.3,6741203.7,6591816,6726411,5938788.1,5383954,4729108.8,4937687.1,5799955.2,4381166.3,4440975,4153191.9,6330000.6,6396610.5,6423064,6197885.1
TZA,16019228.6,15500643.8,13500033.4,12236880.6,10786500,9525638.7,8903128.5,8342876,8117452,7995035,7366620.2,6735912,7298642.1,7701887.7,8263577,9111108,10069646.4,11324456,11599759.6,11006979.1,11343261.8,11686591.8,12036788.4
UGA,9336747.6,9357907.5,9240477.4,9316087.5,9141880.4,8928563.2,8359695,7769860,7561363.2,7635876,6776217,7081969.2,6898330,6812295.6,7483311.8,8498696.5,9434371.2,10780044.5,9717265,9197254.4,9432881.2,9754209.4,10013429.9
UKR,3169780.9,2439511.2,1895210,889746,656302.4,257906,83910.6,60301.8,18474.4,36795.2,13737.9,4557.6,49883.9,0,4488.3,53589.6,22219.5,8844.6,4400.9,0,0,0,0
UZB,19799683.2,20702017.2,21534679.2,22193995.2,22058112,22020867.2,21987953,21705327.6,21485443.2,21345063.6,21369429,21278508,21080457.6,20827876,20565475.7,20233523.2,19616638.6,20872985.1,21247622.5,21278620.2,21493074.5,21797822.2,21871792.8
VNM,13070560.8,13956080,14326083.6,11030308.4,10708289.6,9838860.3,8747663.2,8073660,9702625.2,8957899.5,2831136,2960364.7,2342706.8,1985506.6,2110026,1702992.2,1513104,1222912,1186839.3,925575.5,895076,903484.4,911774.5
VUT,10563.5,12217,14763.4,14168.8,14637,13522.3,12219.4,12364,12600,13975.5,15222,14893.8,15239.9,16014.9,16021.8,17569.5,16503.9,16259.9,16356,16358.4,16699.2,18390,19155.6
WSM,10092,8272,7965,7262.4,7262.4,6894,5864.4,4750.2,6992,8380.5,7626,8302.8,8901.9,9225.3,8179.2,7100.4,7195.5,7232.4,7583.4,7343.1,7380,7393.2,7044.1
YEM,1723150,2855967,3895422.1,4918047.4,5602758.3,5995827.9,6760620,7935129.6,8821677.6,8615625,8087758.2,10833368.4,11336541,11332725.6,11406511.6,17269947.2,19659116.8,20546952.3,20370617.5,20424990,22414569.5,23294529.6,23811461.6
