cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
IRN,1858309.2,1549917.6,1114937.6,1121651.9,1051231.8,950683.5,804865.1,857168.9,1289356.5,1495866.4,1334749.3,943637.5,970953.1,1029885.5,1599604.8,1690368,1581476.6,1647608.9,2009294,3793156,3895200.8,3928752.8,3926168.4,3929453.1
IRQ,1951182,1508474.4,1785632.4,6832158.2,847407.4,486144,337903.4,337841,331876.8,421505.4,624488.9,656748.9,563747.2,548904.6,612622.5,592286,360869.1,401887.5,413070,367758.3,377677.3,387769.2,393624,489137.5
ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAM,317245.8,307051.9,299145,246792,229508.9,259033.6,226872,234765,299925,368445.6,364519.8,354882,408251.7,440634,442179,478475.2,485040.6,475858.6,463550.1,480652.4,479479.8,496230,497080,491904
JOR,1147154.4,1081910.2,989384.8,938538.3,822649.6,725106.6,686563.8,809425.1,909108.9,705973.5,746928,785527.5,802396.8,965085.8,1259687,1699910.4,1760707.2,1626222.8,1628053.2,1655508,1792700.4,1743048,1658557,1550152
JPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZ,5428048.5,5316640,4744794.6,4015155.2,3135666.8,4276883.2,1231743.5,703384.8,753647.1,776832,524768,241381.5,196283.6,98079.9,106676.8,136667.3,246421.9,143819.5,99381.6,87387.1,84496.5,89097.9,88002.6,77188
KEN,4110515,4702851,5576630.6,6491716.2,7285077.5,7966608,8273711.6,8451283.4,9239164,9737354,9944675,11123096.6,11225751.2,11542952.5,11869847.5,12867358.8,14146057.8,16569980,16039374.8,16969875,17320709.6,17825737.4,18136918.8,18527106
KGZ,2486089.2,2258165,2207576,1848425.6,1004577.2,1198715,897737.7,948549.2,650909.4,336420,480389.2,432850.2,373186.5,467224.8,236197.5,329026.5,144135.2,152334,82182.2,84564.8,85707.2,90624.4,84612.9,81675
KHM,1248806.85393416,1146938.04125839,986223.947909302,844719.520905553,811446.010116824,656012.837379337,650870.95669084,664962.86896852,738655.465128541,646121.342785701,554285.358279783,504599.996464021,456728.691233896,366224.733857104,337827.484101135,294365.998815614,274620.084337553,230576.902217629,207393.927255869,163192.117835717,163800.436958022,189469.577150384,188960.612643015,190209.094433176
KIR,14557.2,16262.6,16068.9,16767.6,18621,18602.4,19893,21100.8,25293.8,33087.6,32836.4,28579.2,26394,23241.6,20482,15254.4,11616.6,10718.4,12248.4,8016,7917.8,8097.2,8328.6,8179.2
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
