cc,type,2020,2021,2022,2023
IND-R,fpl_2019eq_gr_2022,,,8508034,
IND-R,fpl_2019eq_gr_2023,,,,7436735.8
IND-U,fpl_2019eq_fo_2020,11304516.6,,,
IND-U,fpl_2019eq_fo_2021,,10979898,,
IND-U,fpl_2019eq_fo_2022,,,11543754,
IND-U,fpl_2019eq_fo_2023,,,,11349434.1
IND-U,fpl_2019eq_gr_2020,12995363.1,,,
IND-U,fpl_2019eq_gr_2021,,8655325,,
IND-U,fpl_2019eq_gr_2022,,,6683226,
IND-U,fpl_2019eq_gr_2023,,,,5959748.5
IRN,fpl_2019eq_fo_2020,3577566.4,,,
IRN,fpl_2019eq_fo_2021,,4822417.6,,
IRN,fpl_2019eq_fo_2022,,,6807058.2,
IRN,fpl_2019eq_fo_2023,,,,7353813.1
IRN,fpl_2019eq_gr_2020,3853406.8,,,
IRN,fpl_2019eq_gr_2021,,3515643.6,,
IRN,fpl_2019eq_gr_2022,,,3297301.6,
IRN,fpl_2019eq_gr_2023,,,,3133289.4
IRQ,fpl_2019eq_fo_2020,365226.4,,,
IRQ,fpl_2019eq_fo_2021,,353679.6,,
IRQ,fpl_2019eq_fo_2022,,,393624,
IRQ,fpl_2019eq_fo_2023,,,,453237.5
IRQ,fpl_2019eq_gr_2020,369376.7,,,
IRQ,fpl_2019eq_gr_2021,,336634.8,,
IRQ,fpl_2019eq_gr_2022,,,266789.6,
