cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
RUS,40566608.7,32327185.5,26948192,26401221,23752855.6,20278861.6,15880077.6,11208645,8470513.6,7955970.8,6370353,5630275.2,4804603.5,4135593.6,4327206.1,5769908.8,5528217.6,4924458,4376536,3885165,3853491.6,3935626.4,3786842.4
RWA,1736826.4,1671630.3,1459656,1626632,1789172.2,1743548.8,1688380.4,1546637.6,1441638,1578361.4,1397690.8,1219856,1269865.3,1271368.5,1200301,1204764.4,1450420.6,1698271.9,1202692.4,1003049.6,1014242.5,1067644.2,1063448.2
SDN,8215875,7922407.5,7666164,7409041.2,7344253.8,7140672,6811308.5,6550220.7,7441464.8,8570655,8950675.8,8380296.1,10393912,9676810,8370288.4,8328428.5,7622915.4,8892940.2,11830635,15892107,16349645.5,16936421.4,17440227.3
SEN,2328670.4,2392873.5,2679306.9,2427652.5,2222769.5,2256950.6,2209698.4,2341355.6,2553076.8,2569189.7,2769190.4,3252094.5,3137987,3275840,2347724.4,1833184.8,1388621.2,841688.1,545882.5,443716,455800,468069.5,480498
SLB,98674,120373.6,135589.5,133563.6,130447.8,122623,120259,91451.5,90698,106915.2,74131.2,60966,51667.2,43315.2,39847.5,38272.4,38460,39959.4,34576.5,33083.5,33760.8,36564,43814.4
SLE,3384662.4,3822477.4,3769798.5,3920565.9,3953248,3673173.6,3371948.5,3047800.5,2944881.6,2974534,2865212.4,2734062,2186094.6,1459157.6,1369078.6,2700124.7,2460649.2,2464663.8,2515176,2100819.5,2135673.8,2171809.5,2095675.2
SLV,948855.6,1033550,1066230,1163747.9,933755.6,958008.1,757000,572504.4,831571,827267.6,773707.5,715795.2,597838.1,535085.6,552728,458323.8,480316.5,361632.6,340477.2,250104.8,250128,256612.2,251366.4
SRB,304532.7,374637.4,290878.3,481895.4,729530.4,809998.5,506349.6,391891.5,358540,406112,493038,530646,1495819,583368,1758143.6,285002.2,1470294,1244805.6,228688.2,378138.9,371660.8,370379.8,349136.8
SSD,2148340.6,2235864.4,2320182.2,2405141.2,2496832.8,2599745.4,2714840.8,2839554.2,2969717.8,3094720,3330163.6,4783552.2,6179812.8,5961811.8,6398551.9,7023450.2,7948926.9,8344176,8458069.3,9338478.3,10019682,10174776.8,10268863.6
STP,4503.6,5325,6508.8,6260.4,7797.6,8174.4,7743.3,9339.9,10804.9,15338.7,15907.5,15644.6,18263.4,18157.7,15623.8,14937,15660,15973.2,15946.7,16401,16633.4,17171,17774.1
SUR,99944.9,101001.4,102057.9,100734,96923.8,98103.4,97272,96033,99704,100553,100939.4,95314.5,96391.5,97468.5,98366,104129.9,107887,108996.8,109964.8,110932.8,127275.6,132515.9,130959.7
SWZ,526433.4,498301.2,528392.8,551109,557245.5,567709.8,573055.2,612326.4,645700.8,664194.4,611697.8,599637.5,570460.8,538014.3,557497.5,554771.4,602469.8,614876.6,594374.3,585527,595746,605682,614906.8
SYR,4923.3,5029.8,3417.6,1741.6,1780.7,0,1891.5,1963.3,0,2082.5,2101.8,0,2042,15848,57609,370953,429442.3,2480930.2,7929770.8,4693196.3,4433893.2,5280655.2,5517903.2
TCD,4774698.9,4678020,4718848.4,4431451.4,3064476,2655674.6,3027300.5,3106432.5,3365505.9,3565930,3248717.1,3612672,3445596,3139026,2918907,2371723.7,2608586,2616440,2172449.5,1832842.6,1900459.5,1963298.6,2029188
TGO,2380114.8,2553444,2610797.2,2430262.8,2559384,3004562.4,2986720.8,3285756.3,3662714.5,3852413.5,3811408.3,3776974.5,3825264.3,3822940.4,3712091.5,3857581.7,3167899,2779987,2253462,2017276.8,2065817.6,2120495,2036826.6
THA,12925277.4,10630743.9,8489672.5,7811155,7020216,5842541.8,5121107.2,4223304.8,4378726.8,4474338.9,4193841.6,2917296,3555025.6,2875634.6,2770888.5,1737047.4,2217420.8,2091821.1,2110081.5,1531662.6,1506218.7,1515056.4,1516560.6
TJK,2792227.2,2952178.2,2745558.4,2717616.4,1661891.2,1455789.6,1305686.5,1165776,1027645.4,791390.7,709941.8,719853.6,602023.5,550312.1,541086.1,925856.7,671721.5,670859.2,628383,655086,623455,540736,517373.6
TLS,418167.1,352199.2,343820.4,350284.5,355273.2,358587,439950.6,402357,469041.3,368768.4,337662,384314,412354.8,352182,291243.6,329361.4,295677,293511.1,294722.4,284671.2,289805.4,297297.7,307509.4
TON,4049.1,3831.3,3148.2,2990,2990,3030,2590.8,2348.4,1936.4,2781,2745.6,2793,3097.5,3339,3635.8,4066,3413.3,3445.2,3477.1,3718,3651.9,3785.6,3638.6
TUN,458762.7,399268.8,383709.6,361816,341579.7,320265.1,299762.4,295552.6,289342.4,299877,209608,187258.8,153506.7,116748.4,104744.2,42837.4,29650.4,28830,25649.8,23566,23806,25239.9,25470.9
TUR,11661456,13185036.8,13699572.9,15735076.6,10989312,9669529.6,8272188.9,7787904.3,6741203.7,6591816,6726411,5938788.1,5383954,4729108.8,4937687.1,5799955.2,4381166.3,4440975,4153191.9,6330000.6,6396610.5,6423064,6197885.1
TZA,16015810.8,15549807.6,13572245.4,12207161.4,10767375,9505933.2,8899065,8342876,8130433,7972702.5,7306691.5,6731155,7298642.1,7681632.9,8227012.5,9078780,10069646.4,11324456,11599759.6,11006979.1,11343261.8,11693059.2,12036788.4
UGA,9339151.5,9365364,9240477.4,9316087.5,9136366.6,8922854.4,8365605,7791273,7593027.2,7635876,6796566,7131100.8,6923744.9,6838583.4,7491078.6,8494682,9455115.2,10852911.6,9951896,9604091.2,9848135.6,10187621.6,10425422.5
UKR,3169780.9,2439511.2,1895210,889746,656302.4,257906,83910.6,60301.8,18474.4,36795.2,13737.9,4557.6,49883.9,0,4488.3,53589.6,22219.5,8844.6,4400.9,0,0,0,0
UZB,19548708.3,20462731.2,21333134.4,22026093.7,21864528,21792864,21754010,21467887.2,21188882,21029716.4,20963209.6,20915145.5,20681654.1,20386582,20156789.1,19809152,19104052.5,20445377.7,20720073,20625760.9,20838345,21141666.7,21160210.5
